hfhfh,130,65.0,A_MINUS,true,3.0
sgvsdg,80,80.0,A_PLUS,true,4.0
aman,255,85.0,A_PLUS,true,4.0
Aman,252,84.0,A_PLUS,true,4.0
guu,50,50.0,B,true,2.5,2026-07-14T22:28:10.932364300
Sabuj,486,81.0,A_PLUS,true,4.0,2026-07-14T22:30:27.380293400
Sahanaj,357,89.25,A_PLUS,true,4.0,2026-07-14T22:36:24.220373600
Maruf,212,70.66666666666667,A,true,3.5,2026-07-14T22:46:11.280693100
A,100,100.0,A_PLUS,true,4.0,2026-07-14T22:50:06.358042300
Amanullah,170,85.0,A_PLUS,true,4.0,2026-07-15T00:04:41.853107800
Amanullah,88,88.0,A_PLUS,true,4.0,2026-07-15T00:05:55.176787500
Babul,100,100.0,A_PLUS,true,4.0,2026-07-15T00:14:27.043625
Saju,99,99.0,A_PLUS,true,4.0,2026-07-15T00:17:35.769690600
Tajul,185,92.5,A_PLUS,true,4.0,2026-07-15T00:29:18.448326
